title,rating
Among the Stars,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/up_among_the_stars (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75BB3DA0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Black Widow,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/black_widow_2021 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A754B5130>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Drain the Oceans,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/drain_the_oceans_villains_of_the_underworld (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A755AD520>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Drain The Oceans: The Mississippi River & Arctic War,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/drain_the_oceans_villains_of_the_underworld (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A758E50A0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Fauci,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/fauci (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A752B1700>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
IMPACT with Gal Gadot,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/keeping_up_with_the_joneses (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7577FAD0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Ghost and Molly McGee,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/molly-and-the-ghost (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7532EC30>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Alvin and the Chipmunks,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/1184827-alvin_and_the_chipmunks (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A76230800>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Alvin and the Chipmunks: The Road Chip,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/alvin_and_the_chipmunks_the_road_chip (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74FB44D0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
LEGO Star Wars Terrifying Tales,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/lego_star_wars_terrifying_tales (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74F98F20>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Maleficent,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/maleficent_2014 (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A757F07D0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Scariest Story Ever: A Mickey Mouse Halloween Spooktacular,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/mickey_the_story_of_a_mouse (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A753584A0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Disney Vampirina,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/disneys_snow_white (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75062540>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Disney's Magic Bake-Off,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/bries_bake_off_challenge (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75B6EC00>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Great Barrier Reef,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/octonauts_and_the_great_barrier_reef (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A6CA14D40>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Ready for Preschool,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/ready_for_war (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A754E9160>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Rolie Polie Olie,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/rolie_polie_olie_the_baby_bot_chase (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75D65CA0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Star Wars Galaxy of Sounds,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/plastic_galaxy_the_story_of_star_wars_toys (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A76003320>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Hatcher Family Dairy,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_family_plan (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A74F3FA10>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Simpsons,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/simpsons_movie (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75870950>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
A Spark Story,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/a_spark_story (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A756CCA10>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Spooky Buddies,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/spooky_buddies (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7626DF40>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
The Fault in Our Stars,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/the_fault_in_our_stars (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A742AE2A0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Dog: Impossible,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/mission_impossible_dead_reckoning_part_one (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75EF4200>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Spidey And His Amazing Friends,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/fox_and_his_friends (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A758E21B0>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Star Wars: Visions,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/star_wars_the_last_jedi (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A7567F170>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
Confessions of a Shopaholic,"Error al obtener datos: HTTPSConnectionPool(host='www.rottentomatoes.comhttps', port=443): Max retries exceeded with url: /www.rottentomatoes.com/m/confessions_of_a_shopaholic (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x0000016A75AA3740>: Failed to resolve 'www.rottentomatoes.comhttps' ([Errno 11001] getaddrinfo failed)""))"
